Unit,PO/Contract,PO_ID,Item description,Vendor Name,PO Date,Award Process,Item,Total Value
NYCTA,Contract,0600000000000000000008429,"TIE, 5"" X 8"" X 9', TROPICAL HARDWOOD, SHALL CONFORM TO MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIAL SECTION 80. SHIPMENTS SHALL BE ACCOMPANIED BY FOREST STEWARDSHIP","WILLIAM G. MOORE & SON, INC. OF DELWARE",7/10/2014,Discretionary Bid,66-65-0350,"$47,850.00"
NYCTA,Contract,0600000000000000000008663,"BLOCK, TIE TROPICAL HARDWOOD, 5"" X 7"" X 24"". SHALL CONFORM TO MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE, AND POWER DISTRIBUTION MATERIAL SECTION 80. DELIVERY TO STOREROOMS 28, 62 AND 67 SHALL BE MADE","WILLIAM G. MOORE & SON, INC. OF DELWARE",8/8/2014,Competitive Bid,66-08-0410,"$583,726.32"
NYCTA,Contract,0600000000000000000008718,"TIE, 6"" X 8"" X 17'0"", TROPICAL HARDWOOD, SHALL CONFORM TO NYCTA STANDARD SPECIFICATION FOR TRACK, INFRASTRUCTURE, AND POWER DISTRIBUTION MATERIALS SECTION 80. DELIVERY TO STOREROOMS #28, 62, & 67 SHALL BE MADE","WILLIAM G. MOORE & SON, INC. OF DELWARE",8/15/2014,Discretionary Bid,66-65-1940,"$113,893.50"
NYCTA,Contract,0600000000000000000008948,"TIE, 6"" X 10"" X 11'-0"", TROPICAL HARDWOOD. SHALL CONFORM TO NYCTA STANDARD SPECIFICATION FOR TRACK, INFRASTRUCTURE, AND POWER DISTRIBUTION MATERIALS SECTION 80. NOTE: DELIVERIES TO STOREROOMS #28, 62, & 67 SHALL BE MADE ON OPEN FLATBED EQUIPMENT ON TUESD","WILLIAM G. MOORE & SON, INC. OF DELWARE",9/12/2014,Discretionary Bid,66-65-2004,"$28,899.00"
NYCTA,Contract,0600000000000000000008949,"TIE, 6"" X 8"" X 13', TROPICAL HARDWOOD, SHALL CONFORM TO THE MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIALS SECTION 80. DELIVERY TO STOREROOMS # 28, 62 & 67 SHALL BE MADE","WILLIAM G. MOORE & SON, INC. OF DELWARE",9/12/2014,Discretionary Bid,66-65-1912,"$23,331.00"
NYCTA,Contract,0600000000000000000008950,"TIE, 6"" X 10"" X 13', TROPICAL HARDWOOD, SHALL CONFORM TO NYCTA STANDARD SPECIFICATION FOR TRACK, INFRASTRUCTURE, AND POWER DISTRIBUTION MATERIALS SECTION 80. DELIVERIES TO STOREROOMS #28, 62, & 67 SHALL BE MADE ON OPEN FLATBED EQUIPMENT ON TUESDAYS, WEDN","WILLIAM G. MOORE & SON, INC. OF DELWARE",9/12/2014,Discretionary Bid,66-65-2008,"$34,609.20"
NYCTA,Contract,0600000000000000000008951,"TIE, 6"" X 10"" X 14', TROPICAL HARDWOOD, SHALL CONFORM TO THE MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIALS SECTION 80. DELIVERY TO STOREROOMS # 28, 62 & 67 SHALL BE MADE","WILLIAM G. MOORE & SON, INC. OF DELWARE",9/12/2014,Discretionary Bid,66-65-2010,"$37,764.60"
NYCTA,Contract,0600000000000000000008952,"TIE,  6"" X 10"" X 12'-0"", TROPICAL HARDWOOD. SHALL CONFORM TO NYCTA STANDARD SPECIFICATION FOR TRACKM, INFRASTRUCTURE, AND POWER DISTRIBUTION MATERIALS SECTION 80. DELIVERIES TO STOREROOMS #28, 62, & 67 SHALL BE MADE ON OPEN FLATBED EQUIPMENT ON TUESDAYS,","WILLIAM G. MOORE & SON, INC. OF DELWARE",9/12/2014,Discretionary Bid,66-65-2006,"$31,947.60"
NYCTA,Contract,0600000000000000000008984,"TIE, 6"" X 8"" X 18'0"", TROPICAL HARDWOOD, SHALL CONFORM TO MTA-NYCTA STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIAL SECTION 80. DELIVERY TO STOREROOMS # 28, 62 & 67 SHALL BE MADE","WILLIAM G. MOORE & SON, INC. OF DELWARE",9/19/2014,Discretionary Bid,66-65-1942,"$23,902.90"
NYCTA,Contract,0600000000000000000009164,"TIE, 6"" X 10"" X 10', TROPICAL HARDWOOD, SHALL CONFORM TO THE MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIALS SECTION 80. DELIVERY TO STOREROOMS # 28, 62 & 67 SHALL BE MADE","WILLIAM G. MOORE & SON, INC. OF DELWARE",10/9/2014,Discretionary Bid,66-65-2002,"$107,625.00"
NYCTA,Contract,0600000000000000000009165,"TIE, 6"" X 10"" X 15', TROPICAL HARDWOOD, SHALL CONFORM TO THE MTA-NYCT STANDARD SPECIFICATION FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIALS SECTION 80. DELIVERY TO STOREROOMS #28, 62 & 67 SHALL BE MADE ON OPEN FLATBED","WILLIAM G. MOORE & SON, INC. OF DELWARE",10/9/2014,Discretionary Bid,66-65-2012,"$100,504.50"
NYCTA,Contract,0600000000000000000009166,"TIE, 6"" X 10"" X 16', TROPICAL HARDWOOD, SHALL CONFORM TO THE MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIALS SECTION 80. DELIVERY TO STOREROOMS #28, 62, & 67 SHALL BE MADE","WILLIAM G. MOORE & SON, INC. OF DELWARE",10/9/2014,Discretionary Bid,66-65-2014,"$71,933.00"
NYCTA,Contract,0600000000000000000009170,"TIE, 6"" X 10"" X 17', TROPICAL HARDWOOD, SHALL CONFORM TO THE MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIALS SECTION 80. DELIVERY TO STOREROOMS #28, 62 & 67 SHALL BE MADE","WILLIAM G. MOORE & SON, INC. OF DELWARE",10/9/2014,Discretionary Bid,66-65-2016,"$192,775.00"
NYCTA,Contract,0600000000000000000009171,"TIE, 6"" X 10"" X 18', TROPICAL HARDWOOD, SHALL CONFORM TO THE MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIALS SECTION 80. DELIVERY TO STOREROOMS #28, 62 & 67 SHALL BE MADE","WILLIAM G. MOORE & SON, INC. OF DELWARE",10/9/2014,Discretionary Bid,66-65-2018,"$59,464.80"
NYCTA,Contract,0600000000000000000009172,"TIE, 6"" X 10"" X 21', TROPICAL HARDWOOD, SHALL CONFORM TO THE MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIALS SECTION 80. DELIVERY TO STOREROOMS #28, 62 & 67 SHALL BE MADE","WILLIAM G. MOORE & SON, INC. OF DELWARE",10/9/2014,Discretionary Bid,66-65-2019,"$98,060.00"
NYCTA,Contract,0600000000000000000009173,"TIE, 6"" X 10"" X 22', TROPICAL HARDWOOD, SHALL CONFORM TO THE MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIALS SECTION 80. DELIVERY TO STOREROOMS # 28, 62 & 67 SHALL BE MADE","WILLIAM G. MOORE & SON, INC. OF DELWARE",10/9/2014,Discretionary Bid,66-65-2024,"$199,608.32"
NYCTA,Contract,0600000000000000000009174,"TIE, 6"" X 10"" X 24', TROPICAL HARDWOOD, SHALL CONFORM TO THE MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIALS SECTION 80. DELIVERY TO STOREROOMS # 28, 62 & 67 SHALL BE MADE","WILLIAM G. MOORE & SON, INC. OF DELWARE",10/9/2014,Discretionary Bid,66-65-2020,"$167,655.60"
NYCTA,Contract,0600000000000000000009175,"TIE, 6"" X 10""X 27', TROPICAL HARDWOOD, SHALL CONFORM TO THE MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIALS SECTION 80, DELIVERY TO STOREROOMS # 28, 62 & 67 SHALL BE MADE","WILLIAM G. MOORE & SON, INC. OF DELWARE",10/9/2014,Discretionary Bid,66-65-2026,"$100,323.36"
NYCTA,Contract,0600000000000000000009283,"BLOCK, TIE TROPICAL HARDWOOD, 5"" X 8"" X 24"". SHALL CONFORM TO MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIAL SECTION 80. DELIVERY TO STOREROOMS 28, 62 AND 67 SHALL BE MADE","WILLIAM G. MOORE & SON, INC. OF DELWARE",10/24/2014,Competitive Bid,66-08-0510,"$236,440.00"
NYCTA,Contract,0600000000000000000009552,"TIE, 6"" X 10"" X 25', TROPICAL HARDWOOD, SHALL CONFORM TO THE MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIALS SECTION 80. DELIVERY TO STOREROOMS # 28, 62 & 67 SHALL BE","WILLIAM G. MOORE & SON, INC. OF DELWARE",12/2/2014,Discretionary Bid,66-65-2022,"$93,520.70"
NYCTA,Contract,0600000000000000000010224,"TIE, 6"" X 10"" X 9'6"", TROPICAL HARDWOOD, SHALL CONFORM TO THE MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIALS SECTION 80. DELIVERY TO STOREROOMS # 28, 62 & 67 SHALL BE MADE","WILLIAM G. MOORE & SON, INC. OF DELWARE",2/27/2015,Discretionary Bid,66-65-2001,"$99,903.00"
NYCTA,PO,6030164318,"TIE, 6"" X 10"" X 28', TROPICAL HARDWOOD, SHALL CONFORM TO THE MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIALS SECTION 80. DELIVERY TO STOREROOMS # 28, 62 & 67 SHALL BE MADE","WILLIAM G. MOORE & SON, INC. OF DELWARE",4/15/2015,,66-65-2028,"$14,989.60"
NYCTA,PO,6030167995,"TIE, 5"" X 7"" X 9', TROPICAL HARDWOOD, SHALL CONFORM TO MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIAL SECTION 80. SHIPMENTS SHALL BE ACCOMPANIED BY FOREST STEWARDSHIP","WILLIAM G. MOORE & SON, INC. OF DELWARE",5/15/2015,,66-65-0320,"$14,885.10"
NYCTA,Contract,0600000000000000000011002,"BLOCK, TIE TROPICAL HARDWOOD, 5"" X 7"" X 24"". SHALL CONFORM TO MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE, AND POWER DISTRIBUTION MATERIAL SECTION 80. DELIVERY TO STOREROOMS 28, 62 AND 67 SHALL BE MADE","WILLIAM G. MOORE & SON, INC. OF DELWARE",5/29/2015,Competitive Bid,66-08-0410,"$51,910.00"
NYCTA,Contract,0600000000000000000011169,"TIE, 5"" X 8"" X 9', TROPICAL HARDWOOD, SHALL CONFORM TO MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIAL SECTION 80. SHIPMENTS SHALL BE ACCOMPANIED BY FOREST STEWARDSHIP","WILLIAM G. MOORE & SON, INC. OF DELWARE",6/19/2015,Competitive Bid,66-65-0350,"$70,923.00"
NYCTA,Contract,0600000000000000000011503,"TIE, 5"" X 7"" X 9'-6"", TROPICAL HARDWOOD,SHALL CONFORM TO MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIAL SECTION 80. SHIPMENTS SHALL BE ACCOMPANIED BY FOREST STEWARDSHIP",BORO SAWMILL & TIMBER CO INC,7/30/2015,Competitive Bid,66-65-0325,"$217,248.00"
NYCTA,Contract,0600000000000000000012248,"BLOCK, TIE TROPICAL HARDWOOD, 5"" X 8"" X 24"". SHALL CONFORM TO MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIAL SECTION 80. DELIVERY TO STOREROOMS 28, 62 AND 67 SHALL BE MADE","WILLIAM G. MOORE & SON, INC. OF DELWARE",10/21/2015,Competitive Bid,66-08-0510,"$115,960.00"
NYCTA,Contract,0600000000000000000012367,"TIE, 6"" X 10"" X 22', TROPICAL HARDWOOD, SHALL CONFORM TO THE MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIALS SECTION 80. DELIVERY TO STOREROOMS # 28, 62 & 67 SHALL BE MADE","WILLIAM G. MOORE & SON, INC. OF DELWARE",11/10/2015,Discretionary Bid,66-65-2024,"$98,252.80"
NYCTA,Contract,0600000000000000000012368,"TIE, 6"" X 10"" X 28', TROPICAL HARDWOOD, SHALL CONFORM TO THE MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIALS SECTION 80. DELIVERY TO STOREROOMS # 28, 62 & 67 SHALL BE MADE","WILLIAM G. MOORE & SON, INC. OF DELWARE",11/10/2015,Discretionary Bid,66-65-2028,"$143,900.16"
NYCTA,PO,6030190085,"BLOCK, TIE TROPICAL HARDWOOD, 5"" X 7"" X 34"". SHALL CONFORM TO MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIAL SECTION 80. DELIVERY TO STOREROOMS 28, 62 AND 67 SHALL BE MADE","WILLIAM G. MOORE & SON, INC. OF DELWARE",11/30/2015,,66-08-0415,"$13,880.16"
NYCTA,PO,6030190807,"TIE, 6"" X 8"" X 18'0"", TROPICAL HARDWOOD, SHALL CONFORM TO MTA-NYCTA STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIAL SECTION 80. DELIVERY TO STOREROOMS # 28, 62 & 67 SHALL BE MADE","WILLIAM G. MOORE & SON, INC. OF DELWARE",12/7/2015,,66-65-1942,"$13,862.80"
NYCTA,PO,6030195719,"TIE, 6"" X 8"" X 10', TROPICAL HARDWOOD, SHALL CONFORM TO THE MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIALS SECTION 80. DELIVERY TO STOREROOMS # 28, 62 & 67 SHALL BE MADE","WILLIAM G. MOORE & SON, INC. OF DELWARE",1/24/2016,,66-65-1900,"$12,949.60"
NYCTA,PO,6030196928,"TIE, 6"" X 10"" X 24', TROPICAL HARDWOOD, SHALL CONFORM TO THE MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIALS SECTION 80. DELIVERY TO STOREROOMS # 28, 62 & 67 SHALL BE MADE",BORO SAWMILL & TIMBER CO INC,2/2/2016,,66-65-2020,"$10,131.00"
NYCTA,Contract,0600000000000000000013114,"TIE, 5"" X 7"" X 9', TROPICAL HARDWOOD, SHALL CONFORM TO MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIAL SECTION 80. SHIPMENTS SHALL BE ACCOMPANIED BY FOREST STEWARDSHIP","WILLIAM G. MOORE & SON, INC. OF DELWARE",2/5/2016,Discretionary Bid,66-65-0320,"$80,460.00"
NYCTA,Contract,0600000000000000000013220,"TIE, 5"" X 7"" X 9', TROPICAL HARDWOOD, SHALL CONFORM TO MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIAL SECTION 80. SHIPMENTS SHALL BE ACCOMPANIED BY FOREST STEWARDSHIP","WILLIAM G. MOORE & SON, INC. OF DELWARE",2/22/2016,Discretionary Bid,66-65-0320,"$118,318.86"
NYCTA,Contract,0600000000000000000013574,"BLOCK, TIE TROPICAL HARDWOOD, 5"" X 7"" X 24"". SHALL CONFORM TO MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE, AND POWER DISTRIBUTION MATERIAL SECTION 80. DELIVERY TO STOREROOMS 28, 62 AND 67 SHALL BE MADE","WILLIAM G. MOORE & SON, INC. OF DELWARE",4/6/2016,Discretionary Bid,66-08-0410,"$70,770.00"
NYCTA,Contract,0600000000000000000013575,"BLOCK, TIE TROPICAL HARDWOOD, 5"" X 7"" X 34"". SHALL CONFORM TO MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIAL SECTION 80. DELIVERY TO STOREROOMS 28, 62 AND 67 SHALL BE MADE","WILLIAM G. MOORE & SON, INC. OF DELWARE",4/6/2016,Discretionary Bid,66-08-0415,"$78,752.00"
NYCTA,Contract,0600000000000000000013660,"TIE, 6"" X 8"" X 10', TROPICAL HARDWOOD, SHALL CONFORM TO THE MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIALS SECTION 80. DELIVERY TO STOREROOMS # 28, 62 & 67 SHALL BE MADE","WILLIAM G. MOORE & SON, INC. OF DELWARE",4/15/2016,Discretionary Bid,66-65-1900,"$74,460.20"
NYCTA,Contract,0600000000000000000013687,"BLOCK, TIE TROPICAL HARDWOOD, 5"" X 7"" X 24"". SHALL CONFORM TO MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE, AND POWER DISTRIBUTION MATERIAL SECTION 80. DELIVERY TO STOREROOMS 28, 62 AND 67 SHALL BE MADE","WILLIAM G. MOORE & SON, INC. OF DELWARE",4/18/2016,Discretionary Bid,66-08-0410,"$126,117.00"
NYCTA,Contract,0600000000000000000013835,"TIE, 6"" X 10"" X 24', TROPICAL HARDWOOD, SHALL CONFORM TO THE MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIALS SECTION 80. DELIVERY TO STOREROOMS # 28, 62 & 67 SHALL BE MADE","WILLIAM G. MOORE & SON, INC. OF DELWARE",5/12/2016,Discretionary Bid,66-65-2020,"$199,390.08"
NYCTA,Contract,0600000000000000000013836,"TIE, 5"" X 7"" X 9', TROPICAL HARDWOOD, SHALL CONFORM TO MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIAL SECTION 80. SHIPMENTS SHALL BE ACCOMPANIED BY FOREST STEWARDSHIP","WILLIAM G. MOORE & SON, INC. OF DELWARE",5/12/2016,Competitive Bid,66-65-0320,"$279,480.00"
NYCTA,Contract,0600000000000000000013886,"BLOCK, TIE TROPICAL HARDWOOD, 5"" X 7"" X 34"". SHALL CONFORM TO MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIAL SECTION 80. DELIVERY TO STOREROOMS 28, 62 AND 67 SHALL BE MADE","WILLIAM G. MOORE & SON, INC. OF DELWARE",5/19/2016,Discretionary Bid,66-08-0415,"$33,655.00"
NYCTA,Contract,0600000000000000000014137,"BLOCK, TIE TROPICAL HARDWOOD, 5"" X 7"" X 24"". SHALL CONFORM TO MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE, AND POWER DISTRIBUTION MATERIAL SECTION 80. DELIVERY TO STOREROOMS 28, 62 AND 67 SHALL BE MADE",J MIKULSKY RAILWAY SUPPLY CO INC,6/24/2016,Discretionary Bid,66-08-0410,"$199,953.00"
NYCTA,Contract,0600000000000000000014557,"BLOCK, TIE TROPICAL HARDWOOD, 5"" X 7"" X 24"". SHALL CONFORM TO MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE, AND POWER DISTRIBUTION MATERIAL SECTION 80. DELIVERY TO STOREROOMS 28, 62 AND 67 SHALL BE MADE",J MIKULSKY RAILWAY SUPPLY CO INC,8/22/2016,Discretionary Bid,66-08-0410,"$199,420.00"
NYCTA,PO,6030225095,"TIE, 6"" X 8"" X 11', TROPICAL HARDWOOD, SHALL CONFORM TO NYCTA STANDARD SPECIFICATION FOR TRACK, INFRASTRUCTURE, AND POWER DISTRIBUTION MATERIALS SECTION 80. DELIVERY TO STOREROOMS #28, 62, & 67 SHALL BE MADE",BORO SAWMILL & TIMBER CO INC,10/24/2016,,66-65-1905,"$7,217.00"
NYCTA,PO,6030227875,"TIE, 6"" X 10"" X 25', TROPICAL HARDWOOD, SHALL CONFORM TO THE MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIALS SECTION 80. DELIVERY TO STOREROOMS # 28, 62 & 67 SHALL BE",BORO SAWMILL & TIMBER CO INC,11/14/2016,,66-65-2022,"$9,600.00"
NYCTA,PO,6030227877,"TIE, 5"" X 7"" X 9'-6"", TROPICAL HARDWOOD,SHALL CONFORM TO MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIAL SECTION 80. SHIPMENTS SHALL BE ACCOMPANIED BY FOREST STEWARDSHIP",BORO SAWMILL & TIMBER CO INC,11/14/2016,,66-65-0325,"$14,016.00"
NYCTA,Contract,600000000017384,"TIE, 6"" X 8"" X 10', TROPICAL HARDWOOD, SHALL CONFORM TO THE MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIALS SECTION 80. DELIVERY TO STOREROOMS # 28, 62 & 67 SHALL BE MADE","WILLIAM G. MOORE & SON, INC. OF DELWARE",2/17/2017,Discretionary Bid,66-65-1900,"$46,926.00"
NYCTA,PO,6030241653,"TIE, 6"" X 10"" X 22', TROPICAL HARDWOOD, SHALL CONFORM TO THE MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIALS SECTION 80. DELIVERY TO STOREROOMS # 28, 62 & 67 SHALL BE MADE",J MIKULSKY RAILWAY SUPPLY CO INC,3/10/2017,,66-65-2024,"$9,252.00"
NYCTA,PO,6030243406,"TIE, 6"" X 10"" X 18', TROPICAL HARDWOOD, SHALL CONFORM TO THE MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIALS SECTION 80. DELIVERY TO STOREROOMS #28, 62 & 67 SHALL BE MADE",BORO SAWMILL & TIMBER CO INC,3/24/2017,,66-65-2018,"$10,717.50"
NYCTA,PO,6030243408,"TIE, 6"" X 10"" X 21', TROPICAL HARDWOOD, SHALL CONFORM TO THE MTA-NYCT STANDARD SPECIFICATIONS FOR TRACK, INFRASTRUCTURE AND POWER DISTRIBUTION MATERIALS SECTION 80. DELIVERY TO STOREROOMS #28, 62 & 67 SHALL BE MADE",BORO SAWMILL & TIMBER CO INC,3/24/2017,,66-65-2019,"$10,991.50"
